,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
1092,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1103,2.0,,2.0,1.0,3.0,3.0,1.0,3.0
1104,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
1106,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
1113,4.0,3.0,,,,,,3.0
1114,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1116,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
1123,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
1127,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1145,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1158,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1166,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1169,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1181,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1206,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1209,2.0,,2.0,2.0,3.0,1.0,1.0,1.0
1217,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1219,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
1224,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1230,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1235,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1236,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1237,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1238,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1242,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1243,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1244,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1248,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1254,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
1256,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1260,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1261,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
1264,2.0,,4.0,0.0,1.0,1.0,3.0,1.0
1266,2.0,,1.0,0.0,1.0,3.0,1.0,3.0
1267,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1269,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1272,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
1274,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1276,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1277,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1278,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1287,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
1288,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1292,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1294,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1299,2.0,,4.0,0.0,1.0,1.0,3.0,1.0
1301,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1303,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1304,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1308,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1310,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1311,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1314,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
1317,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1319,2.0,,0.0,3.0,1.0,3.0,3.0,1.0
1320,2.0,,0.0,3.0,1.0,3.0,3.0,1.0
1321,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1322,2.0,,4.0,0.0,3.0,1.0,3.0,1.0
1324,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1325,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1327,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1332,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1334,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1335,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1336,2.0,,2.0,1.0,1.0,3.0,3.0,1.0
1338,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1340,2.0,,2.0,0.0,1.0,3.0,3.0,3.0
1344,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1348,2.0,,2.0,1.0,3.0,3.0,3.0,1.0
1349,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1354,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1357,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1361,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1362,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1365,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1368,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
1370,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1371,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
1372,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
1373,2.0,,3.0,0.0,1.0,3.0,1.0,1.0
1375,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1376,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1378,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1379,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1380,2.0,,3.0,1.0,1.0,1.0,1.0,1.0
1381,2.0,,2.0,1.0,1.0,1.0,1.0,1.0
1383,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1384,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1385,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1386,2.0,,5.0,0.0,3.0,1.0,3.0,1.0
1388,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1389,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1393,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1395,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
